1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.52E-05,-3.63E-06,-6.74E-05,-9.96E-05,-9.96E-05,-6.67E-05,-4.72E-05,-3.36E-05,-2.01E-05,-5.72E-06,-7.21E-06,-1.91E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.00E-05,8.52E-06,2.17E-05,6.06E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.47E-05,-0.000116677,-0.000132332,-0.00012252,-9.82E-05,-9.18E-05,-9.16E-05,-7.89E-05,-5.81E-05,-2.61E-05,-2.98E-06,-3.68E-06,NaN,NaN,NaN,-2.77E-05,-2.29E-05,-3.96E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000178399,7.16E-05,-1.80E-05,-5.80E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.44E-05,-4.71E-05,-3.88E-05,-2.80E-05,-2.53E-05,-3.39E-05,-4.84E-05,-6.60E-05,-7.34E-05,-7.91E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.78E-05,-3.17E-06,-1.37E-05,-5.97E-05,-9.24E-05,-8.97E-05,-7.15E-05,-2.33E-05,2.62E-05,3.74E-05,1.65E-05,1.08E-06,-1.50E-05,-2.88E-05,-2.84E-05,-4.77E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000169548,-3.62E-05,-0.000127078
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.14E-05,-4.67E-05,-5.30E-05,-5.53E-05,-5.70E-05,-6.25E-05,-6.93E-05,-8.16E-05,-0.000101102,-0.000115715,-0.000116045,-9.99E-05,NaN,NaN,-3.96E-05,-5.62E-05,-3.99E-05,NaN,NaN,2.44E-05,2.65E-05,1.53E-06,-5.40E-05,-9.70E-05,-8.37E-05,-2.98E-05,5.01E-05,0.000116754,0.000138821,0.000114159,7.61E-05,4.21E-05,2.04E-05,3.83E-06,-1.38E-06,-4.19E-06,-8.60E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.79E-05,-0.000132732
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.16E-05,-1.84E-05,-2.89E-05,-4.33E-05,-5.63E-05,-6.19E-05,-5.90E-05,-5.13E-05,-4.77E-05,-5.01E-05,-5.88E-05,-6.62E-05,-6.38E-05,-3.41E-05,-6.48E-06,6.18E-06,-2.98E-06,-1.88E-05,-3.12E-05,-3.60E-05,-4.22E-05,-4.96E-05,-4.67E-05,-6.08E-05,-9.91E-05,-0.000100844,-2.17E-05,0.000114867,0.000241976,0.000319568,0.000291429,0.000181989,0.000101549,7.30E-05,5.03E-05,5.07E-05,4.67E-05,2.61E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.86E-05,-0.000117262
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.24E-05,4.97E-07,2.32E-05,3.39E-05,3.32E-05,9.70E-06,-3.17E-05,-6.43E-05,-6.77E-05,-3.86E-05,-1.27E-06,2.80E-05,4.24E-05,3.50E-05,1.63E-05,2.00E-07,-5.41E-07,5.78E-06,9.58E-06,-1.55E-05,-7.24E-05,-0.000116,-0.000122273,-0.000108291,-8.02E-05,-3.70E-05,3.07E-06,-1.23E-06,-4.23E-05,-4.26E-05,4.20E-05,0.000186807,0.000329697,0.00034904,0.000241958,0.000150559,0.000110313,7.72E-05,7.28E-05,8.52E-05,7.20E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.81E-05,-6.29E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.92E-05,2.12E-05,3.54E-05,5.86E-05,8.24E-05,0.000102446,0.000112936,9.01E-05,3.01E-05,-3.56E-05,-6.80E-05,-4.59E-05,5.89E-06,5.44E-05,7.46E-05,6.66E-05,4.46E-05,1.36E-05,-2.16E-05,-5.68E-05,-9.04E-05,-0.000123856,-0.00016304,-0.000200392,-0.000197473,-0.000143947,-6.33E-05,1.70E-05,9.08E-05,0.000128987,8.42E-05,-2.79E-05,-0.000110698,-7.57E-05,4.61E-05,0.000147955,0.000158952,0.000117344,7.95E-05,6.85E-05,8.19E-05,9.41E-05,8.60E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000305502,5.21E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.15E-05,6.65E-05,5.54E-05,3.24E-05,2.61E-06,6.21E-06,4.37E-05,8.27E-05,8.55E-05,3.58E-05,-2.88E-05,-5.79E-05,-4.28E-05,-4.08E-06,3.67E-05,4.60E-05,2.02E-05,-3.62E-05,-9.45E-05,-0.000123987,-0.000138557,-0.000163083,-0.000202455,-0.000245082,-0.000231671,-0.000166492,-7.38E-05,-1.67E-06,5.53E-05,0.00010687,9.21E-05,-4.62E-05,-0.000232537,-0.000301284,-0.00023019,-8.51E-05,8.95E-06,-9.57E-06,-2.53E-05,1.90E-05,5.84E-05,8.82E-05,9.89E-05,0.000108085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.58E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000158324,0.000123495,6.71E-05,-2.90E-05,-0.000155784,-0.00024358,-0.000250553,-0.00020218,-0.000124055,-2.65E-05,4.21E-05,4.12E-05,-5.53E-06,-4.24E-05,-4.15E-05,-8.81E-06,5.65E-06,-2.58E-05,-0.000101928,-0.000149081,-0.000124238,-8.69E-05,-9.45E-05,-0.00013903,-0.000178085,-0.000178395,-0.000163565,-0.000121209,-6.62E-05,-2.12E-05,1.90E-05,8.12E-06,-6.65E-05,-0.000183723,-0.000287926,-0.000301654,-0.00018951,-8.14E-05,-8.68E-05,-7.99E-05,-1.80E-05,1.28E-05,3.58E-05,6.90E-05,7.49E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.78E-05,2.31E-05,1.23E-05,-6.25E-05,-0.000179174,-0.000256051,-0.000261486,-0.000218149,-0.000149801,-5.13E-05,6.22E-05,0.000123425,9.41E-05,3.32E-05,-1.14E-05,-3.79E-05,-6.25E-05,-0.000102152,-0.000149006,-0.000155903,-0.000108581,-4.83E-05,-1.59E-05,-9.28E-06,-1.08E-05,-1.86E-05,-2.65E-05,-5.76E-07,6.19E-05,0.000110571,0.000114868,8.05E-05,5.19E-05,-2.52E-05,-0.000166113,-0.000253796,-0.000203342,-0.000124966,-8.31E-05,-4.86E-05,-5.35E-06,1.04E-05,-1.80E-05,1.22E-05,5.33E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
