1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.07E-05,-2.68E-05,-9.81E-05,-0.000106357,-5.99E-05,-1.73E-05,-1.85E-06,1.26E-05,-4.01E-06,-2.69E-05,-3.07E-05,-3.43E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000235801,-0.000115165,0.000543409,0.001440983
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.14E-05,-9.47E-05,-0.000134931,-0.000104607,-2.57E-05,1.20E-05,1.96E-05,3.90E-05,2.44E-05,-1.10E-05,-2.88E-05,-5.11E-05,NaN,NaN,NaN,-1.46E-05,-2.01E-05,-4.85E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000359975,-0.000153048,0.000539859,0.001435214
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.18E-05,5.24E-05,5.35E-05,3.07E-05,2.10E-06,-5.16E-06,2.07E-06,1.40E-05,1.32E-05,-1.34E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000110344,-7.48E-05,-2.98E-05,-1.36E-05,1.43E-05,5.19E-05,6.10E-05,4.37E-05,2.18E-06,-5.99E-05,-8.06E-05,-5.43E-05,-2.35E-05,-9.19E-06,-2.33E-05,-6.63E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000367465,0.00040382,0.001440384
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.50E-06,3.54E-05,5.59E-05,5.91E-05,3.30E-05,-3.27E-06,-1.91E-05,-2.02E-05,-5.33E-06,6.22E-06,6.14E-06,8.96E-07,NaN,NaN,9.18E-06,2.79E-05,4.46E-05,NaN,NaN,-8.58E-05,-8.25E-05,-8.55E-05,-7.93E-05,-4.84E-06,7.50E-05,0.000111869,0.000113018,4.18E-05,-6.69E-05,-0.000102744,-7.04E-05,-4.70E-05,-2.27E-05,-3.61E-05,-6.94E-05,-6.25E-05,-5.59E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000214269,0.001397289
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.69E-05,-1.53E-06,2.58E-05,4.72E-05,5.20E-05,2.54E-05,-7.97E-06,-2.29E-05,-3.03E-05,-2.00E-05,6.99E-08,1.68E-05,3.21E-05,3.81E-05,1.96E-05,1.07E-06,3.02E-05,7.02E-05,3.84E-05,-4.24E-05,-9.24E-05,-9.48E-05,-0.000118974,-0.000135712,-2.63E-05,0.000130464,0.000227086,0.000231764,0.000113506,-6.53E-05,-0.000161899,-0.000140192,-8.61E-05,-4.44E-05,-4.74E-05,-6.94E-05,-8.05E-05,-5.50E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.49E-06,0.001282473
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69E-05,4.30E-05,1.51E-05,-1.61E-05,-9.48E-06,5.60E-06,2.33E-05,4.08E-05,3.64E-05,1.63E-05,-1.09E-06,-1.54E-05,-1.68E-05,-1.04E-05,3.42E-06,3.88E-05,6.27E-05,4.56E-05,8.72E-06,-2.78E-06,1.82E-05,9.47E-06,-5.05E-05,-9.44E-05,-8.27E-05,-9.74E-05,-0.000144915,-6.38E-05,0.000149164,0.000347493,0.000408246,0.000276763,-5.75E-07,-0.000257213,-0.000278517,-0.000153346,-7.66E-05,-6.37E-05,-6.15E-05,-8.99E-05,-9.06E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000185956,0.001173891
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.77E-05,-7.64E-06,4.11E-05,7.81E-05,4.90E-05,2.47E-06,-2.36E-05,-5.06E-05,-4.35E-05,5.71E-06,5.40E-05,7.07E-05,5.60E-05,2.15E-05,-1.25E-05,-2.80E-05,-2.22E-05,1.41E-05,4.22E-05,2.56E-05,-2.21E-05,-5.54E-05,-3.83E-05,-1.43E-05,-2.95E-05,-3.79E-05,-9.95E-06,-2.11E-05,-9.15E-05,-8.02E-05,7.65E-05,0.000306368,0.00046805,0.000424547,0.000130263,-0.000253166,-0.000352906,-0.00021736,-0.000118659,-8.59E-05,-4.90E-05,-8.62E-05,-0.000102827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000134714,0.00105673
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.12E-05,6.18E-06,6.95E-05,9.86E-05,6.53E-05,2.64E-05,-1.26E-05,-8.22E-05,-0.000119296,-7.14E-05,2.52E-05,0.000101206,0.000112039,6.59E-05,9.65E-08,-4.30E-05,-5.82E-05,-3.74E-05,-1.39E-05,-2.36E-05,-6.11E-05,-8.67E-05,-7.90E-05,-4.00E-05,1.40E-05,6.27E-05,9.82E-05,7.15E-05,-1.67E-05,-6.25E-05,-2.53E-05,0.000116477,0.000351445,0.0004713,0.000277376,-0.000129986,-0.000328623,-0.000254836,-0.000128981,-5.86E-05,-1.98E-05,-8.74E-05,-0.00010467,-4.90E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000758244
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.39E-05,-7.16E-05,-4.48E-05,-3.44E-06,1.27E-05,2.33E-05,5.34E-05,5.81E-05,-3.99E-06,-8.35E-05,-0.000103482,-3.71E-05,6.27E-05,0.000117513,0.00011297,4.44E-05,-4.81E-05,-0.000118951,-0.000119239,-4.91E-05,-9.88E-06,-6.32E-05,-0.000128796,-0.000139643,-5.86E-05,5.13E-05,0.000134749,0.000177917,0.000125076,3.60E-05,-2.74E-05,-9.11E-05,-5.78E-05,0.00019144,0.000444646,0.00039072,2.84E-05,-0.000284828,-0.00028793,-9.05E-05,1.63E-06,1.99E-05,-4.11E-05,-7.51E-05,-2.42E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000770764
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.66E-05,-0.000107137,-0.000140733,-0.000168684,-0.00013169,-3.03E-05,7.73E-05,0.000123185,0.000102702,6.26E-05,4.41E-06,-2.84E-05,9.27E-06,7.27E-05,0.000102417,4.83E-05,-6.84E-05,-0.000183392,-0.000183288,-3.76E-05,5.58E-05,-2.08E-05,-0.000136123,-0.000175532,-8.78E-05,3.14E-05,0.000131032,0.000224049,0.000194603,8.54E-05,-2.60E-05,-0.000126973,-0.000110137,8.82E-05,0.000336502,0.000403707,0.00014562,-0.000217187,-0.00027597,-4.78E-05,4.71E-05,2.05E-05,-2.82E-05,-6.08E-05,-3.64E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
